col_name,feature_importance_vals,full name,Controls percentage,ME/CFS percentage
cpkbloodb,0.770394110655061,,,
t4bloodb,0.6396566517583323,,,
TTGIgABloodB,0.6193523176513736,,,
RFBloodB,0.3810353965571631,,,
eosinbloodb,0.3145909693131693,,,
agilent_131885,0.2963803619822238,MH0010_GL0007892 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,40.0,62.5
eGFRBloodB,0.295621830608319,,,
TBilBloodB,0.2803657022198058,,,
hctbloodb,0.2775499648473374,,,
creatbloodb,0.27192952139758986,,,
monobloodb,0.2705261550715567,,,
mchcbloodb,0.23717753368528754,,,
lymphbloodb,0.2210728716715175,,,
neutrobloodb,0.22071606197520852,,,
nabloodb,0.20015777605755827,,,
albuminbloodb,0.19701016317108838,,,
TSHBloodB,0.19581786372368476,,,
inorgphosbloodb,0.18563032955787268,,,
SerFolateBloodB,0.18044058047580164,,,
rbcbloodb,0.17793322521276767,,,
mcvbloodb,0.17104263730568164,,,
wbcbloodb,0.1610486850821172,,,
pltbloodb,0.16039764969263842,,,
totcabloodb,0.14299631525740436,,,
adjcabloodb,0.13897112483191898,,,
esrbloodb,0.13860092818003633,,,
hgbbloodb,0.13725774193386206,,,
kbloodb,0.13482910348482963,,,
ALPBloodB,0.13451630317002408,,,
ALTBloodb,0.13224455973531116,,,
mchbloodb,0.13168672291257852,,,
t3bloodb,0.12985420916970955,,,
B12BloodB,0.12832878905449888,,,
basobloodb,0.12175252499053617,,,
agegroup_Average,0.11977520079285213,,,
ureabloodb,0.1152292092033838,,,
sex_Binary,0.07906564611149516,,,
CRPBloodB,0.06329129546197354,,,
